pandaid,IObytesRead,IObytesReadRate,IObytesWriteRate,IObytesWritten,actualcorecount,assignedpriority,avgpss,avgrss,avgvmem,cpu_eff,cpuconsumptiontime,currentpriority,dbTime,failedattempt,hs06sec,inputfilebytes,maxcpucount,maxdiskcount,maxpss,maxrss,maxvmem,minramcount,nevents,outputfilebytes,queue_time,timeExe,timeStageIn,timeStageOut,wall_time,workDirSize,computingsite,jobstatus
4051879568,1989032.0,4747712.0,125753.0,52684.0,1.0,1100,1505245.0,1585311.0,2928456.0,0.44874477,429,1100,19.46,0,11348,18679544,0,410,2735889.0,2888692.0,4472748.0,2823,15,42421626,1495,502,29,327,956,5796486.0,Taiwan-LCG2,finished
4051879570,2619792.0,5474830.0,148174.0,70904.0,1.0,1100,1482916.0,1561758.0,3085037.0,0.54500616,442,1100,24.3,0,9627,27651960,0,435,2620613.0,2771280.0,4505652.0,2823,22,54243802,1475,512,26,81,811,5852710.0,Taiwan-LCG2,finished
4051879574,2419608.0,5788968.0,163906.0,68508.0,1.0,1100,1616170.0,1623733.0,3047052.0,0.40506329999999996,416,1100,12.94,0,12191,32472120,0,449,2765052.0,2773104.0,4497000.0,2823,27,61060929,1561,472,25,394,1027,5847231.0,Taiwan-LCG2,finished
4051879595,2431420.0,6765690.0,487969.0,175364.0,1.0,1100,1480975.0,1534766.0,2944870.0,0.5202399000000001,347,1100,20.41,0,7917,17474412,0,407,2713017.0,2811448.0,4524280.0,2823,14,40654496,1609,402,23,98,667,5414912.0,Taiwan-LCG2,finished
4051879599,1373304.0,2864080.0,186805.0,89572.0,1.0,1100,1272818.0,1328955.0,2490834.0,0.5239899,415,1100,13.31,0,9401,20830992,0,416,2723396.0,2834652.0,4532692.0,2823,17,45565052,1581,512,26,119,792,5827460.0,Taiwan-LCG2,finished
4051879604,2305428.0,4284497.0,155766.0,83816.0,1.0,1100,1458480.0,1532505.0,4213288.0,0.58830273,513,1100,16.6,0,10351,20344552,0,415,2690977.0,2829528.0,14877828.0,2823,16,45565763,1814,603,37,123,872,11004616.0,Taiwan-LCG2,finished
4051879618,2596796.0,2170709.0,81625.0,97648.0,1.0,1100,1691621.0,1726240.0,3157476.0,0.35413644,488,1100,266.75,0,23260,25899040,0,430,2753258.0,2762896.0,4548520.0,2823,21,52249385,2451,1267,15,25,1378,15589764.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879636,2560964.0,2375386.0,110818.0,119476.0,1.0,1100,1527939.0,1574926.0,2967124.0,0.42092840000000004,535,1100,207.6,0,21454,26141680,0,431,2838607.0,2930284.0,4587040.0,2823,21,53502358,2474,1178,14,22,1271,11947024.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879660,2683652.0,1865620.0,83936.0,120740.0,1.0,1100,1740871.0,1770698.0,3402515.0,0.2962744,501,1100,316.9,0,28544,23880484,0,425,2651828.0,2707548.0,4559968.0,2823,19,49793789,3071,1539,16,24,1691,12197084.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879685,2768940.0,2208251.0,100020.0,125416.0,1.0,1100,1563510.0,1605720.0,3084443.0,0.31509694,455,1100,211.7,0,24374,19298436,0,412,2678105.0,2753612.0,4577324.0,2823,16,43942791,3091,1318,15,24,1444,13904731.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879687,2859728.0,2079802.0,143019.0,196652.0,1.0,1100,1460320.0,1497766.0,3011117.0,0.34574467,520,1100,336.68,0,25387,24590812,0,427,2545180.0,2626076.0,4585760.0,2823,20,51961160,3097,1428,14,22,1504,45770276.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879710,608988.0,5069948.0,3696.0,444.0,1.0,1100,566034.0,573500.0,1405596.0,0.34671533,95,1100,,0,4625,20002608,0,414,907521.0,916988.0,1915604.0,2823,0,0,3123,163,15,0,274,372736.0,CERN-PROD_T0_SCORE_SHORT,failed
4051879719,2551280.0,1705294.0,83120.0,124356.0,1.0,1100,1509718.0,1557815.0,3101456.0,0.3064231,520,1100,522.08,0,28645,32668352,0,449,2631444.0,2735108.0,4542680.0,2823,27,61212245,3131,1559,15,24,1697,14583104.0,CERN-PROD_T0_SCORE_SHORT,finished
4051879730,2737552.0,2076483.0,103859.0,136924.0,1.0,1100,1552620.0,1602613.0,2945065.0,0.38073090000000004,573,1100,376.71,0,25404,37290276,0,462,2783673.0,2873760.0,4594976.0,2823,31,67641431,3157,1369,31,24,1505,74862300.0,CERN-PROD_T0_SCORE_SHORT,finished
